Location,State,Country,Size,Bedrooms,Bathrooms,Age_of_Building,Amenities,Distance_to_Nearest_School,distance_to_nearest_Shopping,distance_to_nearest_Rail_Bus_Metro,Floor_Number,View,Renovated,Balcony_Area,Garage_Capacity,Property_Type,Price_$
Palm Valley,New_York,US,1030,1,1,27,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",2,1,4,1,City,No,157,3,Villa,190337
Chillum,New_York,US,2696,1,1,10,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",0,4,5,3,Ocean,No,417,3,House,295642
Lutz,New_York,US,3172,1,2,1,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",5,4,4,2,Ocean,Yes,178,2,Apartment,485220
Kahului,Honolulu,US,1463,2,2,27,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",3,2,2,1,Ocean,No,414,0,Apartment,261829
Pekin,Chicago,US,3767,4,1,10,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",5,3,4,1,Sea,No,111,0,House,338555
Carlsbad,Denver,US,2381,3,4,23,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",0,0,3,3,City,No,263,3,House,467594
Bourbonnais,Chicago,US,3905,4,2,18,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",1,3,3,3,Lake,No,204,0,Apartment,122049
Aloha,Los_Angeles,US,1224,4,2,14,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",5,2,1,2,City,No,246,0,Apartment,301474
Bridgeport,New_York,US,2224,4,5,2,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",2,1,3,3,Ocean,Yes,404,1,House,192452
Kahului,Honolulu,US,2101,2,5,1,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",0,1,0,1,City,Yes,384,2,Villa,199423
Dumont,New_York,US,1249,3,2,13,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",1,4,0,3,Ocean,No,459,0,House,367655
Bothell,Los_Angeles,US,3009,3,3,6,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",4,4,2,2,Sea,Yes,388,0,Apartment,383076
Malden,New_York,US,3053,3,4,24,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",4,3,3,3,Sea,Yes,119,3,Villa,293326
Watsonville,Los_Angeles,US,1935,3,4,14,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",4,2,1,3,Country,No,180,0,Villa,417874
Bothell West,Los_Angeles,US,1432,4,4,23,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",3,2,1,3,Sea,No,314,3,Apartment,128440
Vestavia Hills,Chicago,US,1004,4,5,2,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",1,4,1,1,Country,No,216,0,Apartment,379744
Camarillo,Los_Angeles,US,3400,5,4,22,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",0,2,3,3,Lake,Yes,114,0,Apartment,293266
Kendall,New_York,US,2200,1,1,30,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",1,3,5,3,Country,No,311,1,House,408875
Newburgh,New_York,US,1225,5,2,2,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",2,1,3,1,Sea,No,498,3,Villa,90673
Port Richmond,New_York,US,1685,1,2,17,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",2,1,4,2,Lake,No,254,3,House,349094
Sun City Center,New_York,US,1170,3,1,11,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",2,1,1,2,Country,No,209,2,Villa,317363
American Canyon,Los_Angeles,US,2500,1,1,6,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",5,3,1,1,Country,Yes,143,2,House,353592
Camarillo,Los_Angeles,US,1793,1,4,14,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",4,3,2,2,Lake,Yes,427,2,House,240426
South Whittier,Los_Angeles,US,3585,5,2,17,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",0,3,2,1,City,No,316,0,House,489067
South Whittier,Los_Angeles,US,3776,2,2,26,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",3,1,4,3,Sea,No,398,3,Villa,344746
Mechanicsville,New_York,US,2150,1,3,9,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",2,2,5,1,City,No,411,1,House,73926
Ken Caryl,Denver,US,1626,4,3,20,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",3,3,4,3,Lake,No,175,3,Villa,127357
Davis,Los_Angeles,US,1294,4,1,20,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",4,4,4,3,City,Yes,488,3,Villa,345515
Taunton,New_York,US,1563,3,1,21,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",0,5,4,1,Country,Yes,360,0,Villa,458455
Searcy,Chicago,US,1768,2,2,28,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",2,3,3,1,Lake,No,365,1,House,437523
Malden,New_York,US,2192,3,4,6,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",1,1,2,1,Ocean,Yes,234,0,Villa,325712
Martinsburg,New_York,US,3348,2,5,6,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",1,1,1,2,Lake,Yes,304,1,House,218175
Norwalk,New_York,US,1162,5,4,14,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",2,3,2,2,City,Yes,129,1,House,368169
Bothell West,Los_Angeles,US,1438,3,5,9,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",3,5,2,2,Country,Yes,375,1,House,63421
Copperas Cove,Chicago,US,1112,1,2,29,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",2,4,1,3,Ocean,Yes,272,0,House,233027
Ken Caryl,Denver,US,2071,3,4,1,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",3,1,1,2,Lake,Yes,156,2,Apartment,84764
Sunnyside,Los_Angeles,US,2228,4,2,28,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",1,0,5,1,Sea,Yes,401,3,Apartment,250700
Venice,New_York,US,1204,2,4,28,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",5,3,1,2,City,Yes,254,1,House,140585
Aurora,Denver,US,1908,2,5,7,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",4,4,3,1,Country,No,106,3,Apartment,203383
Rosemount,Chicago,US,2632,3,5,7,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",1,4,5,3,Sea,No,435,0,House,404872
Taunton,New_York,US,1739,5,4,5,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",5,4,3,1,Ocean,No,281,2,Apartment,207266
Searcy,Chicago,US,1540,3,4,19,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",4,3,3,2,Sea,No,263,3,House,369816
Brenham,Chicago,US,1785,5,2,29,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",4,1,1,1,Lake,No,404,2,Villa,404008
Rosedale,New_York,US,1602,3,4,6,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",3,3,4,2,Sea,Yes,279,2,Villa,74977
Shreveport,Chicago,US,3820,4,2,14,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",0,3,1,2,City,Yes,297,0,House,123786
Lower West Side,Chicago,US,1241,3,2,3,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",2,1,1,3,Ocean,Yes,177,2,Apartment,252184
Rolla,Chicago,US,3810,5,2,13,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",5,5,1,3,Lake,Yes,390,0,Apartment,304949
Malden,New_York,US,3935,2,4,17,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",3,1,1,3,Lake,No,324,0,Villa,205628
Dublin,New_York,US,3990,3,2,23,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",3,0,5,2,Sea,Yes,408,1,Apartment,212411
Canton,Detroit,US,1807,2,4,6,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",3,4,2,1,Sea,No,381,1,Apartment,219764
Far Rockaway,New_York,US,3923,2,2,20,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",3,2,5,3,Lake,Yes,188,1,House,420151
Palestine,Chicago,US,3749,1,2,20,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",2,0,5,2,Ocean,No,383,2,House,146771
Carlsbad,Denver,US,1443,1,3,17,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",3,0,0,2,Country,No,220,1,Apartment,442315
Scotch Plains,New_York,US,3782,5,5,7,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",2,1,2,2,City,Yes,166,3,House,466561
Kahului,Honolulu,US,1312,2,2,16,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",4,3,1,1,City,Yes,131,2,Apartment,384691
Sun City Center,New_York,US,2899,2,1,18,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",1,3,2,3,Country,No,289,1,Apartment,219883
Kearns,Denver,US,1424,1,2,25,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",3,2,5,2,City,No,205,1,Villa,102626
Vestavia Hills,Chicago,US,3660,4,3,4,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",4,1,3,2,City,No,103,1,Apartment,407196
Acworth,New_York,US,1281,4,4,10,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",2,0,1,1,Sea,Yes,143,2,Villa,341503
South Lawndale,Chicago,US,2928,1,3,15,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",3,0,0,1,City,No,399,0,House,391306
American Canyon,Los_Angeles,US,1823,5,1,21,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",1,2,2,1,Sea,Yes,242,0,Villa,159912
Dublin,New_York,US,1765,3,5,29,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",2,2,2,2,Sea,No,169,3,Villa,379353
Sunnyside,Los_Angeles,US,2262,2,3,8,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",2,2,4,3,Ocean,Yes,232,0,Villa,367991
Sterling,New_York,US,3716,5,3,28,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",1,4,4,1,Ocean,No,437,3,Apartment,323970
Stockbridge,New_York,US,3159,3,5,29,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",1,1,4,2,Country,No,207,3,Villa,496532
Yonkers,New_York,US,3324,2,1,1,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",4,3,4,1,Ocean,Yes,183,3,Apartment,416857
Scarsdale,New_York,US,3187,5,5,26,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",3,3,3,3,Lake,No,456,2,House,73174
Odessa,Chicago,US,3670,4,4,19,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",4,2,4,1,Sea,No,414,2,House,438546
Camarillo,Los_Angeles,US,1024,5,2,19,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",4,4,0,1,Lake,Yes,338,0,House,101395
Hutto,Chicago,US,3930,4,2,15,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",3,2,1,1,Lake,Yes,109,3,House,394532
Port Richmond,New_York,US,3580,3,5,12,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",4,2,3,1,City,Yes,329,1,House,381470
Redding,Los_Angeles,US,2248,2,1,10,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",3,2,1,1,Country,No,499,1,Apartment,340220
Evergreen Park,Chicago,US,2626,3,4,27,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",4,2,5,2,Sea,Yes,431,0,Apartment,298073
Canton,Detroit,US,1227,2,1,7,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",2,5,4,1,City,Yes,488,0,Villa,257989
Lutz,New_York,US,3153,5,2,8,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",4,0,3,2,City,Yes,254,1,House,211811
Middletown,New_York,US,2770,3,1,5,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",4,1,4,2,Ocean,Yes,176,3,House,158471
Palm Valley,New_York,US,3170,2,4,17,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",3,3,4,1,Country,No,156,1,Apartment,454681
Keizer,Los_Angeles,US,3836,1,4,29,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",2,4,1,2,Ocean,Yes,157,3,Apartment,319278
Glendale,Los_Angeles,US,3410,3,5,22,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",0,4,1,2,Lake,No,393,1,House,166827
Woodbridge,New_York,US,3258,5,3,4,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",2,3,1,3,Country,Yes,292,1,Apartment,260765
Dumont,New_York,US,3613,5,2,16,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",2,4,1,1,Sea,No,102,3,Villa,107371
Fayetteville,New_York,US,1115,5,3,19,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",1,4,5,1,City,Yes,304,3,Villa,203594
Visitacion Valley,Los_Angeles,US,3566,3,2,5,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",3,2,4,2,City,Yes,171,1,Apartment,201537
Copperas Cove,Chicago,US,2676,5,1,13,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",1,4,3,3,Sea,No,104,3,Villa,61480
Lexington,New_York,US,1086,3,5,9,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",3,3,3,3,City,Yes,141,0,House,312817
Malden,New_York,US,2752,2,5,7,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",0,1,2,3,Ocean,Yes,106,3,Apartment,296094
Claremont,Los_Angeles,US,2591,1,2,8,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",3,5,4,2,Country,Yes,296,2,Apartment,401236
Newburgh,New_York,US,1023,1,1,16,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",1,2,1,2,City,No,278,0,Apartment,436931
Taunton,New_York,US,2890,1,1,14,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",0,0,5,3,Lake,No,285,3,Apartment,446107
Schererville,Chicago,US,3165,1,1,24,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",3,3,2,3,Sea,No,174,2,Villa,56407
Canton,Detroit,US,1526,5,1,24,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",2,3,4,1,Ocean,No,138,1,Apartment,244331
Norwalk,New_York,US,3036,4,3,8,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",5,3,1,1,Lake,Yes,236,2,Villa,139804
Coralville,Chicago,US,2214,2,5,4,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",3,3,1,1,Ocean,Yes,464,1,Villa,397282
Rosemount,Chicago,US,1181,4,3,3,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",3,1,5,3,Sea,No,117,3,Villa,323242
Mira Mesa,Los_Angeles,US,3410,3,5,24,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",2,5,3,1,City,Yes,178,1,Apartment,59428
New City,Chicago,US,3475,3,2,27,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",1,5,2,2,Country,Yes,309,2,Apartment,304233
Nutley,New_York,US,2394,4,5,23,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",5,3,4,3,Lake,Yes,214,2,Villa,374603
Troutdale,Los_Angeles,US,1981,2,1,20,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",3,2,2,3,Country,Yes,495,1,Apartment,104275
Odessa,Chicago,US,3230,3,3,20,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",2,4,2,2,Sea,No,290,3,House,141747
Middle River,New_York,US,2052,1,3,25,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",1,3,3,3,Country,No,343,3,Villa,433659
Keene,New_York,US,3816,2,5,4,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",4,3,3,1,Ocean,No,253,2,Villa,105143
Woodbridge,New_York,US,2652,4,3,24,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",1,4,4,1,Sea,Yes,465,0,Villa,327436
Harrisburg,New_York,US,1068,4,5,8,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",3,0,1,2,City,Yes,179,3,Apartment,398276
Sun City Center,New_York,US,1490,3,2,8,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",3,1,3,3,Ocean,Yes,480,0,Apartment,397250
Collinwood,New_York,US,1430,4,1,20,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",4,4,1,3,Ocean,No,159,3,Villa,169029
Rosemount,Chicago,US,1492,5,4,5,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",0,1,5,3,Country,No,211,3,Villa,312288
Brunswick,New_York,US,1285,2,4,4,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",2,3,3,1,City,No,467,2,Villa,261668
Yonkers,New_York,US,2513,5,2,21,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",2,2,0,3,Sea,Yes,474,0,House,496331
Jersey City,New_York,US,2814,4,4,1,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",1,2,1,2,Ocean,Yes,394,0,Apartment,160917
Malden,New_York,US,1864,5,2,4,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",0,2,4,2,City,Yes,448,1,Villa,292202
Vestavia Hills,Chicago,US,2968,5,5,6,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",1,2,3,2,City,No,285,1,Villa,114457
Fayetteville,New_York,US,3906,4,5,18,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",2,4,4,2,Lake,Yes,170,1,Apartment,203951
Santa Maria,Los_Angeles,US,2339,4,5,2,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",3,3,4,1,Ocean,Yes,486,1,Apartment,302912
Hueytown,Chicago,US,3956,1,2,29,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",4,4,5,2,Lake,Yes,472,0,Apartment,468795
Taunton,New_York,US,1101,4,5,24,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",3,3,4,2,Lake,Yes,348,0,House,159440
Beaumont,Los_Angeles,US,2989,4,4,7,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",0,1,1,3,Country,No,151,1,House,220574
Pottstown,New_York,US,3721,5,5,26,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",2,3,1,2,Ocean,No,310,3,Apartment,433124
Kendall,New_York,US,3109,5,1,29,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",1,2,5,2,Sea,Yes,500,0,House,149437
Kahului,Honolulu,US,2385,1,1,7,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",0,0,2,3,City,No,239,3,Villa,372908
Canton,Detroit,US,2299,2,5,19,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",1,0,4,3,City,No,406,0,Apartment,273993
Abilene,Chicago,US,2682,3,1,9,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",3,3,4,3,Country,No,173,0,Villa,295486
Chillum,New_York,US,3052,3,1,8,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",2,2,0,3,Lake,Yes,234,2,House,220468
Redding,Los_Angeles,US,3206,3,5,28,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",1,3,5,1,Sea,Yes,188,1,House,442355
Port Richmond,New_York,US,3838,2,2,16,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",1,3,2,2,Country,Yes,156,2,Villa,435657
Bourbonnais,Chicago,US,1290,3,5,2,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",3,2,3,3,City,Yes,164,1,Apartment,495688
Dublin,New_York,US,2422,1,2,2,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",4,1,1,3,Country,No,469,3,Apartment,115070
Peabody,New_York,US,1182,4,5,15,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",3,1,2,1,Sea,Yes,438,3,Villa,110712
Hueytown,Chicago,US,2350,1,3,27,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",1,3,5,2,Country,Yes,152,1,Apartment,446530
Martinsburg,New_York,US,2685,1,5,3,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",4,1,3,2,Lake,No,326,1,House,235366
Palm Desert,Los_Angeles,US,1618,5,4,29,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",3,4,5,1,Ocean,No,362,2,Apartment,99141
North Tustin,Los_Angeles,US,2266,3,3,20,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",5,4,3,2,Ocean,No,426,1,Villa,496632
Fayetteville,New_York,US,1792,3,5,18,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",4,1,1,1,Lake,No,233,1,Apartment,297728
Bourbonnais,Chicago,US,3517,5,2,6,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",4,1,4,2,City,Yes,262,2,Apartment,285717
Brentwood Estates,Chicago,US,1969,5,1,3,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",2,0,2,3,City,No,470,0,House,129171
Malden,New_York,US,1451,1,5,27,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",3,1,0,3,Sea,No,233,1,Apartment,478967
Bon Air,New_York,US,1527,2,3,27,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",1,2,4,1,City,Yes,464,1,Villa,123235
Woodlawn,New_York,US,1699,1,3,21,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",4,3,5,3,Country,No,498,2,House,449258
Fitchburg,New_York,US,1845,2,2,15,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",0,1,3,1,Ocean,No,331,0,House,357555
South Lawndale,Chicago,US,1198,3,2,14,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",4,1,4,3,City,Yes,396,3,Villa,310711
Gilbert,Phoenix,US,3842,4,3,26,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",0,4,3,3,Country,Yes,489,1,Villa,83361
Nutley,New_York,US,2727,2,1,24,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",4,3,1,1,Lake,No,367,2,House,106849
Sicklerville,New_York,US,2606,2,4,21,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",2,4,2,1,Country,No,285,2,House,421491
Kendall,New_York,US,1842,5,5,11,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",4,1,5,1,Country,No,137,1,House,310972
Muskogee,Chicago,US,3076,3,3,15,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",2,1,2,2,Ocean,No,476,3,Villa,438290
Pleasant Prairie,Chicago,US,3571,4,5,17,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",1,4,1,1,Lake,Yes,318,0,Apartment,113477
Tyler,Chicago,US,1900,5,5,24,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",1,1,2,3,Ocean,Yes,240,3,Villa,259367
Searcy,Chicago,US,3136,5,1,20,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",3,3,1,2,Country,Yes,266,1,House,123062
Keene,New_York,US,3645,5,3,25,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",4,2,4,3,Lake,No,333,0,Villa,135990
Odessa,Chicago,US,2446,4,1,13,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",2,1,4,2,City,Yes,234,3,House,159413
Dublin,New_York,US,1615,5,2,6,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",1,5,2,2,Country,Yes,336,1,Villa,232415
Collinwood,New_York,US,3787,1,3,15,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",4,1,4,2,Ocean,No,140,0,Apartment,234296
Toledo,New_York,US,3717,2,5,26,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",0,3,5,3,Sea,No,306,2,House,409829
Camarillo,Los_Angeles,US,3112,3,2,23,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",4,4,1,1,City,No,220,3,House,213467
Fayetteville,New_York,US,3023,2,3,15,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",0,1,4,1,Country,No,158,2,Villa,100137
Opportunity,Los_Angeles,US,2432,1,3,4,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",0,3,3,1,Ocean,Yes,119,1,House,480726
West Chester,New_York,US,2952,1,4,10,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",2,5,4,2,Country,No,217,0,Apartment,309182
Ada,Chicago,US,3231,2,5,7,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",1,4,5,2,Ocean,No,350,1,House,328103
Fort Washington,New_York,US,3747,2,5,1,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",0,3,2,2,Sea,Yes,106,2,Villa,123681
Gainesville,New_York,US,3725,3,3,27,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",3,1,2,1,Ocean,No,419,0,House,268463
Milledgeville,New_York,US,1601,5,2,11,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",2,5,1,1,Ocean,No,141,2,Villa,457333
Santa Maria,Los_Angeles,US,3268,4,1,20,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",4,1,3,2,Lake,Yes,414,2,Villa,109670
Mechanicsville,New_York,US,3739,3,4,13,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",1,3,4,2,Country,No,200,1,Villa,54518
Palm Desert,Los_Angeles,US,1033,3,1,9,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",1,3,4,3,Sea,No,363,3,Apartment,126333
Lutz,New_York,US,1007,5,1,26,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",1,3,4,2,Lake,Yes,331,3,Apartment,109499
Scottsdale,Phoenix,US,2470,4,2,22,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",5,4,0,3,City,Yes,115,2,House,423133
Mira Mesa,Los_Angeles,US,2270,4,2,3,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",3,2,3,1,Ocean,Yes,121,2,Villa,479967
Toledo,New_York,US,3385,5,3,14,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",3,3,1,1,Ocean,No,251,2,House,372873
Tupelo,Chicago,US,2006,4,4,25,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",1,2,2,3,Ocean,No,170,1,Apartment,228996
Scottsdale,Phoenix,US,1253,2,1,25,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",2,3,2,2,City,Yes,413,2,Apartment,218397
Abilene,Chicago,US,2256,5,5,4,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",3,0,5,2,Country,No,384,0,Apartment,346715
Nutley,New_York,US,3299,1,1,13,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",3,1,2,2,City,Yes,351,2,Apartment,481336
Rolla,Chicago,US,3040,2,1,14,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",3,0,3,2,Sea,Yes,330,3,Villa,79879
Camarillo,Los_Angeles,US,3255,1,1,9,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",4,4,5,1,Country,No,270,3,Villa,328059
Brenham,Chicago,US,1886,1,1,9,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",0,1,5,2,Ocean,Yes,333,0,Villa,170170
Copperas Cove,Chicago,US,3135,5,4,13,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",2,3,1,3,Country,Yes,278,0,Villa,390153
San Juan,Chicago,US,1701,2,3,5,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",3,0,1,2,Sea,No,465,2,Villa,301632
Vestavia Hills,Chicago,US,1696,4,1,13,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",2,4,4,2,Lake,No,191,0,House,133154
